03:27:24,IST,CPU,%user,%nice,%system,%iowait,%steal,%idle
03:27:44,IST,all,0.01,0,0.03,0.01,0,99.96
03:28:04,IST,all,0.1,0.01,0.02,0,0,99.87
03:28:24,IST,all,10.21,0,0.52,0.06,0,89.21
03:28:44,IST,all,41.79,0,1.3,0.03,0,56.88
03:29:04,IST,all,66.15,0,2.26,0.04,0,31.54
03:29:24,IST,all,66.51,0,1.76,0.03,0,31.7
03:29:44,IST,all,80.01,0,1.92,0.02,0,18.04
03:30:04,IST,all,83.3,0,1.98,0.02,0,14.69
03:30:24,IST,all,74.78,0,1.71,0.03,0,23.48
03:30:44,IST,all,65.79,0,1.83,0.04,0,32.34
03:31:04,IST,all,71.33,0,1.95,0.03,0,26.69
03:31:24,IST,all,74.04,0,1.98,0.04,0,23.94
03:31:44,IST,all,59.28,0,1.69,0.06,0,38.97
03:32:04,IST,all,75.61,0,1.94,0.02,0,22.43
03:32:24,IST,all,82.78,0,1.74,0.02,0,15.45
03:32:44,IST,all,81.74,0,1.71,0.01,0,16.53
03:33:04,IST,all,90.21,0,1.69,0.01,0,8.09
03:33:24,IST,all,91.92,0,1.57,0.02,0,6.5
03:33:44,IST,all,92.59,0,1.42,0.01,0,5.98
03:34:04,IST,all,83.6,0,1.47,0.01,0,14.91
03:34:24,IST,all,81.43,0,1.78,0.02,0,16.77
03:34:44,IST,all,79.62,0,1.9,0.01,0,18.47
03:35:04,IST,all,80.83,0,1.76,0.02,0,17.39
03:35:24,IST,all,79.94,0,2,0.02,0,18.03
03:35:44,IST,all,83.27,0,1.83,0.02,0,14.88
03:36:04,IST,all,84.04,0,1.66,0.01,0,14.29
03:36:24,IST,all,83.43,0,2,0.02,0,14.55
03:36:44,IST,all,83.12,0,1.72,0.02,0,15.14
03:37:04,IST,all,80.86,0,1.63,0.02,0,17.49
03:37:24,IST,all,84.61,0,1.8,0.01,0,13.59
03:37:44,IST,all,73.54,0,1.7,0.02,0,24.75
03:38:04,IST,all,79.73,0,1.76,0.01,0,18.49
03:38:24,IST,all,85.38,0,1.58,0.01,0,13.02
03:38:44,IST,all,94.42,0.01,1.4,0,0,4.17
03:39:04,IST,all,90.03,0,1.69,0.01,0,8.26
03:39:24,IST,all,94.73,0,1.35,0.01,0,3.91
03:39:44,IST,all,98.49,0,1.13,0.01,0,0.38
03:40:04,IST,all,96.34,0,1.36,0.01,0,2.29
03:40:24,IST,all,91.82,0,1.42,0,0,6.76
03:40:44,IST,all,86.32,0,1.63,0.02,0,12.03
03:41:04,IST,all,85.42,0,1.7,0.01,0,12.86
03:41:24,IST,all,82.93,0,2.06,0.01,0,15
03:41:44,IST,all,83.38,0,1.73,0.02,0,14.87
03:42:04,IST,all,80.14,0,1.75,0.01,0,18.1
03:42:24,IST,all,79.87,0,1.84,0.02,0,18.27
03:42:44,IST,all,86.95,0,1.82,0.01,0,11.22
03:43:04,IST,all,92.96,0,1.57,0.01,0,5.46
03:43:24,IST,all,40.45,0,0.94,0.02,0,58.59
03:43:44,IST,all,0.09,0,0.08,0,0,99.83
03:44:04,IST,all,0.12,0,0.08,0,0,99.81
03:44:24,IST,all,0.02,0,0.03,0,0,99.96
03:44:44,IST,all,0.03,0,0.03,0,0,99.94
03:45:04,IST,all,0.07,0,0.03,0,0,99.9
03:45:24,IST,all,0.02,0,0.05,0,0,99.93
