03:37:06,IST,CPU,%user,%nice,%system,%iowait,%steal,%idle
03:37:26,IST,all,0.03,0.00,0.03,0.00,0.00,99.94
03:37:46,IST,all,0.03,0.00,0.04,0.00,0.00,99.93
03:38:06,IST,all,0.12,0.00,0.06,0.00,0.00,99.83
03:38:26,IST,all,0.47,0.00,0.04,0.00,0.00,99.48
03:38:46,IST,all,54.11,0.00,1.94,0.02,0.00,43.92
03:39:06,IST,all,92.62,0.00,2.16,1.00,0.00,4.22
03:39:26,IST,all,97.95,0.00,2.05,0.00,0.00,0.00
03:39:46,IST,all,98.12,0.00,1.88,0.00,0.00,0.00
03:40:06,IST,all,98.13,0.00,1.87,0.00,0.00,0.00
03:40:26,IST,all,98.14,0.00,1.86,0.00,0.00,0.00
03:40:46,IST,all,98.23,0.00,1.77,0.00,0.00,0.00
03:41:06,IST,all,98.26,0.00,1.74,0.00,0.00,0.00
03:41:26,IST,all,98.17,0.00,1.83,0.00,0.00,0.00
03:41:46,IST,all,98.20,0.00,1.80,0.00,0.00,0.00
03:42:06,IST,all,98.09,0.00,1.91,0.00,0.00,0.01
03:42:26,IST,all,98.36,0.00,1.64,0.00,0.00,0.00
03:42:46,IST,all,98.35,0.00,1.65,0.00,0.00,0.00
03:43:06,IST,all,98.45,0.00,1.55,0.00,0.00,0.00
03:43:26,IST,all,98.38,0.00,1.62,0.00,0.00,0.00
03:43:46,IST,all,98.44,0.00,1.56,0.00,0.00,0.00
03:44:06,IST,all,98.31,0.00,1.69,0.00,0.00,0.00
03:44:26,IST,all,98.38,0.00,1.62,0.00,0.00,0.00
03:44:46,IST,all,98.39,0.00,1.61,0.00,0.00,0.00
03:45:06,IST,all,98.32,0.00,1.68,0.00,0.00,0.00
03:45:26,IST,all,98.47,0.00,1.52,0.00,0.00,0.00
03:45:46,IST,all,98.29,0.00,1.71,0.00,0.00,0.00
03:46:06,IST,all,98.38,0.00,1.62,0.00,0.00,0.00
03:46:26,IST,all,98.42,0.00,1.58,0.00,0.00,0.00
03:46:46,IST,all,98.37,0.00,1.63,0.00,0.00,0.00
03:47:06,IST,all,98.39,0.00,1.61,0.00,0.00,0.00
03:47:26,IST,all,98.43,0.00,1.57,0.00,0.00,0.00
03:47:46,IST,all,98.32,0.00,1.68,0.00,0.00,0.00
03:48:06,IST,all,98.22,0.00,1.77,0.00,0.00,0.00
03:48:26,IST,all,98.20,0.00,1.80,0.00,0.00,0.00
03:48:46,IST,all,98.40,0.00,1.60,0.00,0.00,0.00
03:49:06,IST,all,98.32,0.00,1.68,0.00,0.00,0.00
03:49:26,IST,all,98.35,0.00,1.65,0.00,0.00,0.00
03:49:46,IST,all,98.46,0.00,1.54,0.00,0.00,0.00
03:50:06,IST,all,98.35,0.00,1.65,0.00,0.00,0.00
03:50:26,IST,all,98.44,0.00,1.56,0.00,0.00,0.00
03:50:46,IST,all,98.29,0.00,1.71,0.00,0.00,0.00
03:51:06,IST,all,98.36,0.00,1.64,0.00,0.00,0.00
03:51:26,IST,all,98.42,0.00,1.58,0.00,0.00,0.00
03:51:46,IST,all,98.41,0.00,1.59,0.00,0.00,0.00
03:52:06,IST,all,98.30,0.00,1.70,0.00,0.00,0.00
03:52:26,IST,all,98.39,0.00,1.61,0.00,0.00,0.00
03:52:46,IST,all,98.38,0.00,1.62,0.00,0.00,0.00
03:53:06,IST,all,98.37,0.00,1.63,0.00,0.00,0.00
03:53:26,IST,all,98.45,0.00,1.55,0.00,0.00,0.00
03:53:46,IST,all,15.19,0.00,0.41,0.01,0.00,84.39
03:54:06,IST,all,0.17,0.00,0.12,0.00,0.00,99.71
03:54:26,IST,all,0.10,0.00,0.09,0.00,0.00,99.81
03:54:46,IST,all,0.11,0.00,0.10,0.00,0.00,99.79
03:55:06,IST,all,0.14,0.00,0.10,0.00,0.00,99.76
